Price,Open,High,Low,Close,Volume,MA20
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,
Date,,,,,,
2025-02-06,230.7334042435517,233.23737378273856,229.875473186273,232.6587677001953,29925300,231.63223724365236
2025-02-07,232.04025529180169,233.43688010961284,226.71309440770742,227.08221435546875,39707200,230.88055114746095
2025-02-10,229.26935130196645,230.2880044885276,226.90244480659103,227.3518524169922,33115600,230.43414230346679
2025-02-11,227.90114370319637,234.92193591818142,227.83124330015124,232.3153533935547,53718400,230.35811386108398
2025-02-12,230.89721134547665,236.64967765066982,230.377888084301,236.55978393554688,45243300,230.5501724243164
2025-02-13,236.5997394445533,242.02262084431055,235.2614980047627,241.21368408203125,53614100,230.74597854614257
2025-02-14,240.93404435379279,245.22841586050225,240.67439035154717,244.2796630859375,40896200,231.5744270324707
2025-02-18,243.83025306858283,244.85890295305822,241.52328070167576,244.14984130859375,48822500,232.3105911254883
2025-02-19,244.33958470767533,245.68780753699892,242.84154918255663,244.54930114746094,32204200,233.43284530639647
2025-02-20,244.61922281669615,246.4568094488268,243.9700649298591,245.508056640625,32316900,234.54368057250977
2025-02-21,245.6278941258364,248.36431123309396,244.89885442060717,245.22842407226562,53197400,235.64901275634764
2025-02-24,244.609226181644,248.53408727873096,244.09989957647335,246.77639770507812,51326400,236.87563858032226
2025-02-25,247.67521063757022,249.67259136851834,244.58926106556868,246.71646118164062,48013300,237.7461196899414
2025-02-26,244.01001367840516,244.65915630674968,238.8168269352331,240.0452117919922,44433600,237.86404876708986
2025-02-27,239.09646458024955,242.14247324939222,236.74953612071198,236.98922729492188,41153600,237.77431030273436
2025-02-28,236.63967447024518,241.77294223985544,229.89851463379637,241.5232696533203,56833400,237.99956207275392
2025-03-03,241.47333193183624,243.71040379171194,235.80077808405883,237.71826171875,47184000,238.11387100219727
2025-03-04,237.39870037793833,239.75561031847352,234.3726544629493,235.6210174560547,53798100,238.52185668945313
2025-03-05,235.11168617953675,236.2402111793479,228.92979032203158,235.4312744140625,47227600,238.68143157958986
2025-03-06,234.13297099659667,237.54849020730907,232.8546485518437,235.0218048095703,45170400,238.8369934082031
2025-03-07,234.80209169163373,241.05388787370777,234.45254396930395,238.7569122314453,46273600,239.14190063476562
2025-03-10,235.23152514577004,235.85072354308846,223.92635798057333,227.1820831298828,72071200,239.14689407348632
2025-03-11,223.51689291637274,225.54423318142804,217.16522145004404,220.55078125,76137400,238.8068405151367
2025-03-12,219.85169651198805,221.4595886104368,214.6285501658544,216.69583129882812,62547500,238.0258644104004
2025-03-13,215.6671885752157,216.55602242060417,208.14705109128238,209.4053955078125,61368300,236.66814498901368
2025-03-14,210.97334672214788,213.66980775083542,209.30553558500114,213.21041870117188,60107600,235.2679817199707
2025-03-17,213.0306430192638,214.93814530685134,209.69502079955336,213.71974182128906,48073400,233.73998565673827
2025-03-18,213.87952928252258,214.8682229774316,211.21302787332291,212.4114532470703,42432400,232.1530662536621
2025-03-19,213.93944620866878,218.47349365471302,213.470060528986,214.95811462402344,54385400,230.67350692749022
2025-03-20,213.70975404736055,217.20517028159983,211.94206785632258,213.81961059570312,48862900,229.08908462524414
2025-03-21,211.2829271905112,218.5533916912833,211.0032951126973,217.98414611816406,94127800,227.72687072753905
2025-03-24,220.71056863168138,221.1899357355996,218.29373979930335,220.44091796875,44299500,226.41009674072265
2025-03-25,220.48087718007702,223.80651793975238,219.79177838679217,223.45697021484375,34493600,225.24712219238282
2025-03-26,223.21727075576553,224.7253029108424,220.18125884970436,221.2398681640625,34466100,224.30685501098634
2025-03-27,221.1000540446544,224.69534536875565,220.271139232742,223.5568389892578,37094800,223.63523559570314
2025-03-28,221.3796909591809,223.51688772665744,217.39491092445158,217.6146240234375,39818600,222.43980331420897
2025-03-31,216.72579102857173,225.32451569687797,215.9468137615173,221.83909606933594,65299300,221.64584503173828
2025-04-01,219.5221267668628,223.3870536043053,218.61331487709137,222.897705078125,36412700,221.0096794128418
2025-04-02,221.03016017035932,224.89508702876748,220.73055001137135,223.59678649902344,35905900,220.41795501708984
2025-04-03,205.27081771109022,207.2182761783418,200.9864426085102,202.9239044189453,103419000,218.81305999755858
2025-04-04,193.6360793511012,199.61824028069563,187.09465424061224,188.13330078125,125910900,216.28187942504883
2025-04-07,176.967935484531,193.89573468350994,174.39131242893686,181.2223663330078,160466300,213.98389358520507
2025-04-08,186.4554964395268,190.09072892121037,168.9884109270566,172.19419860839844,120859500,211.566064453125
2025-04-09,171.72480450043201,200.3472738997123,171.6648855169899,198.58958435058594,184395900,210.6607521057129
2025-04-10,188.82240088513313,194.52491452460524,182.76034285398336,190.17062377929688,121880000,209.69901351928712
2025-04-11,185.856281088865,199.27866665425725,185.81632494094944,197.89048767089844,87435900,208.93301696777343
2025-04-14,211.1630921847052,212.6611277249045,200.8965565016436,202.25477600097656,101352900,208.35976867675782
2025-04-15,201.59564256833872,203.24347561495443,199.53834280484799,201.87527465820312,51343900,207.83295974731445
2025-04-16,198.10021911176236,200.4371508814261,192.11805840887246,194.0155792236328,59732400,206.78583297729492
2025-04-17,196.94174374665747,198.56961397436802,194.16538565496842,196.72203063964844,51334300,205.9309539794922
2025-04-21,193.01688474432112,193.54618940120912,189.56140949031536,192.9070281982422,46742500,204.6770980834961
2025-04-22,195.8631544964882,201.32599215129426,195.71335703344474,199.47842407226562,52976400,203.62897338867188
2025-04-23,205.7302222309065,207.7276030292648,202.5344160012944,204.33206176757812,52929200,202.6727279663086
2025-04-24,204.62166872266098,208.5565112075726,202.67422555441442,208.09710693359375,47311000,202.01558990478514
2025-04-25,206.0997277622984,209.47530610539675,205.92995222724628,209.00592041015625,38222300,201.28804397583008
2025-04-28,209.72497582911666,211.2230113707532,207.1883090170199,209.8647918701172,38743100,200.90055236816406
2025-04-29,208.41669143858087,211.96204522644123,208.09710321217068,210.9333953857422,36827600,200.3552673339844
2025-04-30,209.02590396975114,213.30029766677714,206.399343338795,212.22171020507812,52286500,199.82146759033202
2025-05-01,208.80618155790114,214.2790004444518,208.62640936955898,213.04063415527344,57365700,199.29365997314454
2025-05-02,205.82009105417706,206.71892151455646,201.89524528415058,205.08106994628906,101010600,199.40151824951172
2025-05-05,202.83402512431957,203.83271551835597,197.9504297070337,198.62953186035156,69018500,199.92632980346679
2025-05-06,197.9504203457911,200.38721199140494,196.7619763948813,198.25001525878906,51216500,200.77771224975587
2025-05-07,198.90915494694545,199.1788056079939,192.99690991055434,195.99298095703125,68536700,201.9676513671875
2025-05-08,197.46106353953903,199.78801395815432,194.42503624466005,197.2313690185547,50478900,201.89974060058594
2025-05-09,198.739389980464,200.2773664943336,197.28129528859796,198.27000427246094,36453900,202.30470962524413
2025-05-12,210.97000122070312,211.27000427246094,206.75,210.7899932861328,63775800,202.94968490600587
2025-05-13,210.42999267578125,213.39999389648438,209.0,212.92999267578125,51909300,203.4834457397461
2025-05-14,212.42999267578125,213.94000244140625,210.5800018310547,212.3300018310547,49325800,204.00618209838868
2025-05-15,210.9499969482422,212.9600067138672,209.5399932861328,211.4499969482422,45029500,204.87790298461914
2025-05-16,212.36000061035156,212.57000732421875,209.77000427246094,211.25999450683594,54737900,205.60480117797852
2025-05-19,207.91000366210938,209.47999572753906,204.25999450683594,208.77999877929688,46140500,206.39844970703126
2025-05-20,207.6699981689453,208.47000122070312,205.02999877929688,206.86000061035156,42496600,206.76752853393555
2025-05-21,205.1699981689453,207.0399932861328,200.7100067138672,202.08999633789062,59211800,206.65542526245116
2025-05-22,200.7100067138672,202.75,199.6999969482422,201.36000061035156,46742400,206.31856994628907
2025-05-23,193.6699981689453,197.6999969482422,193.4600067138672,195.27000427246094,78432900,205.63177413940429
2025-05-27,198.3000030517578,200.74000549316406,197.42999267578125,200.2100067138672,56288500,205.1490348815918
2025-05-28,200.58999633789062,202.72999572753906,199.89999389648438,200.4199981689453,45339700,204.62336502075195
2025-05-29,203.5800018310547,203.80999755859375,198.50999450683594,199.9499969482422,51396800,204.00977935791016
2025-05-30,199.3699951171875,201.9600067138672,196.77999877929688,200.85000610351562,70819900,203.40024795532227
2025-06-02,200.27999877929688,202.1300048828125,200.1199951171875,201.6999969482422,35423300,203.23119430541993
2025-06-03,201.35000610351562,203.77000427246094,200.9600067138672,203.27000427246094,46381600,203.46321792602538
2025-06-04,202.91000366210938,206.24000549316406,202.10000610351562,202.82000732421875,43507100,203.69171752929688
